Product ID,Product Name,Category,Supplier,Purchase Date,Stock Qty,Cost Price,Stock value,Product Age
P001,Logitech Mouse,Accessories,Ingram,05-????-26,150,450,67500,260
P002,Dell Keyboard,Accessories,Redington,15-????-26,120,550,66000,250
P003,HP Printer 2336,Printers,HP Direct,10-??????-26,25,4200,105000,224
P004,Samsung SSD 1TB,Storage,Ingram,05-?????-26,80,3800,304000,201
P005,WD HDD 2TB,Storage,Redington,20-?????-26,60,3200,192000,186
P006,"Asus Monitor 24""",Monitors,Asus Direct,01-?????-26,18,8200,147600,174
P007,HDMI Cable,Accessories,Local Vendor,10-?????-26,250,120,30000,165
P008,Gaming Mouse RGB,Accessories,Ingram,15-??-26,40,850,34000,130
P009,Lenovo Laptop Bag,Accessories,Lenovo Direct,20-??-26,90,450,40500,125
P010,USB Hub,Accessories,Local Vendor,01-???-26,75,250,18750,113
P011,HP Ink Cartridge,Printers,HP Direct,15-?????-25,180,950,171000,281
P012,Canon Ink Cartridge,Printers,Canon Direct,20-?????-25,140,900,126000,276
P013,TP-Link Router,Networking,TP-Link,25-????-26,65,1450,94250,240
P014,Wireless Keyboard,Accessories,Ingram,10-??????-26,55,1100,60500,224
P015,Gaming Headset,Accessories,Local Vendor,01-???????-25,95,1800,171000,325
P016,External HDD 1TB,Storage,WD Direct,15-?????-25,45,3500,157500,342
P017,Webcam HD,Accessories,Local Vendor,01-??????-25,70,1200,84000,386
P018,Bluetooth Speaker,Accessories,Boat,15-??-25,110,950,104500,403
P019,Laptop Cooling Pad,Accessories,Local Vendor,01-????-25,130,350,45500,448
P020,Mechanical Keyboard,Accessories,Redington,10-???-25,35,2800,98000,469
P021,USB Type-C Cable,Accessories,Local Vendor,12-????-26,300,90,27000,253
P022,VGA Cable,Accessories,Local Vendor,18-?????-25,140,75,10500,278
P023,DisplayPort Cable,Accessories,Local Vendor,15-???????-25,95,140,13300,311
P024,SSD Enclosure,Storage,Ingram,21-?????-25,40,450,18000,336
P025,Laptop Stand,Accessories,Local Vendor,11-??????-25,65,550,35750,376
P026,WiFi Adapter,Networking,TP-Link,05-??-25,80,700,56000,413
P027,Gaming Chair,Furniture,Local Vendor,22-????-25,12,6500,78000,427
P028,Printer Paper A4,Consumables,Local Vendor,15-??-26,200,180,36000,130
